GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AnimalResourceTest (QuarkusTest),org.acme.persistence.enitities,Animal,8,31,0,0,1,6,1,9,1,9
AnimalResourceTest (QuarkusTest),org.acme.persistence.enitities,Species,6,17,0,0,1,4,1,5,1,5
AnimalResourceTest (QuarkusTest),org.acme.persistence.enitities,Space,13,28,0,0,2,5,2,8,2,8
AnimalResourceTest (QuarkusTest),org.acme.persistence.enitities,Zone,17,15,0,0,4,2,4,4,4,4
AnimalResourceTest (QuarkusTest),org.acme.persistence.enitities,Enclosure,18,31,0,0,3,6,3,9,3,9
AnimalResourceTest (QuarkusTest),org.acme.utils,Constants,6,0,0,0,2,0,2,0,2,0
AnimalResourceTest (QuarkusTest),org.acme.api.hr.viewmodels,PersonViewModel,155,0,30,0,4,0,26,0,11,0
AnimalResourceTest (QuarkusTest),org.acme.api.hr.viewmodels,ZookeeperViewModel,115,0,22,0,3,0,20,0,9,0
AnimalResourceTest (QuarkusTest),org.acme.maps,EnclosureMapper,3,0,0,0,1,0,1,0,1,0
AnimalResourceTest (QuarkusTest),org.acme.maps,EnclosureMapperImpl,273,191,32,14,72,55,28,12,7,10
AnimalResourceTest (QuarkusTest),org.acme.maps,SpeciesMapperImpl,117,23,15,1,34,8,13,2,5,2
AnimalResourceTest (QuarkusTest),org.acme.maps,ZoneMapperImpl,161,0,16,0,48,0,15,0,7,0
AnimalResourceTest (QuarkusTest),org.acme.maps,SpaceMapperImpl,127,32,15,1,37,11,13,2,5,2
AnimalResourceTest (QuarkusTest),org.acme.maps,AnimalMapper,0,7,0,2,0,3,0,2,0,1
AnimalResourceTest (QuarkusTest),org.acme.maps,AnimalMapperImpl,110,239,23,17,28,67,19,14,2,11
AnimalResourceTest (QuarkusTest),org.acme.rest,SpeciesResource,90,0,2,0,17,0,11,0,10,0
AnimalResourceTest (QuarkusTest),org.acme.rest,LocationResource,184,0,4,0,36,0,21,0,19,0
AnimalResourceTest (QuarkusTest),org.acme.rest,AnimalResource,0,119,0,0,0,21,0,11,0,11
AnimalResourceTest (QuarkusTest),org.acme.rest,EnclosureResource,9,104,1,1,3,19,2,12,1,12
AnimalResourceTest (QuarkusTest),org.acme.services,AnimalService,74,4,0,0,11,1,7,1,7,1
AnimalResourceTest (QuarkusTest),org.acme.services,ZoneService,94,0,4,0,17,0,10,0,8,0
AnimalResourceTest (QuarkusTest),org.acme.services,SpeciesService,61,0,0,0,9,0,6,0,6,0
AnimalResourceTest (QuarkusTest),org.acme.services,EnclosureService,68,0,0,0,11,0,7,0,7,0
AnimalResourceTest (QuarkusTest),org.acme.services,SpaceService,61,0,0,0,9,0,6,0,6,0
AnimalResourceTest (QuarkusTest),org.openapi.quarkus.api_yaml.model,EnclosureAnimalViewModel.EnclosureAnimalViewModelQueryParam,72,0,2,0,20,0,10,0,9,0
AnimalResourceTest (QuarkusTest),org.openapi.quarkus.api_yaml.model,SpaceCreationViewModel,72,0,2,0,20,0,10,0,9,0
AnimalResourceTest (QuarkusTest),org.openapi.quarkus.api_yaml.model,EnclosureCreationViewModel,55,17,2,0,13,7,5,5,4,5
AnimalResourceTest (QuarkusTest),org.openapi.quarkus.api_yaml.model,SpeciesCreationViewModel,50,0,2,0,14,0,7,0,6,0
AnimalResourceTest (QuarkusTest),org.openapi.quarkus.api_yaml.model,ZoneViewModel,94,0,2,0,26,0,13,0,12,0
AnimalResourceTest (QuarkusTest),org.openapi.quarkus.api_yaml.model,AnimalCreationViewModel.AnimalCreationViewModelQueryParam,94,0,2,0,26,0,13,0,12,0
AnimalResourceTest (QuarkusTest),org.openapi.quarkus.api_yaml.model,SpeciesCreationViewModel.SpeciesCreationViewModelQueryParam,50,0,2,0,14,0,7,0,6,0
